collection_name,collection_location,curator_name,curator_organization,curator_email,collector_name,collector_email,collector_organization,bibliographical_reference,associated_datasets,site_name,site_datum,pro_coord_est,site_country,site_state,site_county,site_city_township,site_lat_min,site_lat_max,site_long_min,site_long_max,plot_name,pro_name,pro_igsn,pro_lat,pro_long,pro_elevation,pro_obs_date_y,pro_treatment,pro_collection_method,pro_chrono_name,pro_soil_age,pro_usda_soil_order,pro_soil_series,pro_soil_taxon,pro_soil_taxon_sys,pro_land_cover,pro_bedrock_depth,pro_parent_material,pro_parent_chem,pro_aspect,pro_aspect_deg,pro_slope,pro_drainage_class,pro_depth_water,pro_top_t,pro_bot_t,lyr_name,lyr_igsn,sample_location,sample_box,lyr_top,lyr_bot,lyr_type,lyr_mass,lyr_hzn
Barbados_2001,USGS-Denver,Corey Lawrence,USGS,clawrence@usgs.gov,Daniel Muhs,dmuhs@usgs.gov,USGS,https://doi.org/10.1006/qres.2001.2237,NA,Second High Cliff,WGS84,Yes,Barbados,St. James,St. James,Holetown,13.1728875,13.1886127,-59.6108139,-59.5851458,NA,8A,IEESB00OI,13.1728875,-59.6108139,189,2001,control,soil pit,NA,460,Mollisol,NA,Typic Argiudoll,USDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,52,A_0-13,IEESB00OT,DB0217,Barbados_2,0,13,bulk soil,197.51,NA
Barbados_2001,USGS-Denver,Corey Lawrence,USGS,clawrence@usgs.gov,Daniel Muhs,dmuhs@usgs.gov,USGS,https://doi.org/10.1006/qres.2001.2237,NA,Second High Cliff,WGS84,Yes,Barbados,St. James,St. James,Holetown,13.1728875,13.1886127,-59.6108139,-59.5851458,NA,8A,IEESB00OI,13.1728875,-59.6108139,189,2001,control,soil pit,NA,460,Mollisol,NA,Typic Argiudoll,USDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,52,BA_13-26,IEESB00OU,DB0217,Barbados_2,13,26,bulk soil,133.01,NA
Barbados_2001,USGS-Denver,Corey Lawrence,USGS,clawrence@usgs.gov,Daniel Muhs,dmuhs@usgs.gov,USGS,https://doi.org/10.1006/qres.2001.2237,NA,Second High Cliff,WGS84,Yes,Barbados,St. James,St. James,Holetown,13.1728875,13.1886127,-59.6108139,-59.5851458,NA,8A,IEESB00OI,13.1728875,-59.6108139,189,2001,control,soil pit,NA,460,Mollisol,NA,Typic Argiudoll,USDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,52,Bt_26-39,IEESB00OV,DB0217,Barbados_2,26,39,bulk soil,223.23,NA
Barbados_2001,USGS-Denver,Corey Lawrence,USGS,clawrence@usgs.gov,Daniel Muhs,dmuhs@usgs.gov,USGS,https://doi.org/10.1006/qres.2001.2237,NA,Second High Cliff,WGS84,Yes,Barbados,St. James,St. James,Holetown,13.1728875,13.1886127,-59.6108139,-59.5851458,NA,8A,IEESB00OI,13.1728875,-59.6108139,189,2001,control,soil pit,NA,460,Mollisol,NA,Typic Argiudoll,USDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,52,Bt_39-52,IEESB00OW,DB0217,Barbados_2,39,52,bulk soil,121.7,NA
Barbados_2001,USGS-Denver,Corey Lawrence,USGS,clawrence@usgs.gov,Daniel Muhs,dmuhs@usgs.gov,USGS,https://doi.org/10.1006/qres.2001.2237,NA,Second High Cliff,WGS84,Yes,Barbados,St. James,St. James,Holetown,13.1728875,13.1886127,-59.6108139,-59.5851458,NA,8B,IEESB00OJ,13.175912,-59.6105053,189,2001,control,soil pit,NA,460,Mollisol,NA,Lithic Argiudoll,USDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,39,A_0-5,IEESB00OX,DB0217,Barbados_2,0,5,bulk soil,197.45,NA
Barbados_2001,USGS-Denver,Corey Lawrence,USGS,clawrence@usgs.gov,Daniel Muhs,dmuhs@usgs.gov,USGS,https://doi.org/10.1006/qres.2001.2237,NA,Second High Cliff,WGS84,Yes,Barbados,St. James,St. James,Holetown,13.1728875,13.1886127,-59.6108139,-59.5851458,NA,8B,IEESB00OJ,13.175912,-59.6105053,189,2001,control,soil pit,NA,460,Mollisol,NA,Lithic Argiudoll,USDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,39,AB_5-19,IEESB00OY,DB0217,Barbados_2,5,19,bulk soil,206.67,NA
Barbados_2001,USGS-Denver,Corey Lawrence,USGS,clawrence@usgs.gov,Daniel Muhs,dmuhs@usgs.gov,USGS,https://doi.org/10.1006/qres.2001.2237,NA,Second High Cliff,WGS84,Yes,Barbados,St. James,St. James,Holetown,13.1728875,13.1886127,-59.6108139,-59.5851458,NA,8B,IEESB00OJ,13.175912,-59.6105053,189,2001,control,soil pit,NA,460,Mollisol,NA,Lithic Argiudoll,USDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,39,Bt1_19-29,IEESB00OZ,DB0217,Barbados_2,19,29,bulk soil,196.66,NA
Barbados_2001,USGS-Denver,Corey Lawrence,USGS,clawrence@usgs.gov,Daniel Muhs,dmuhs@usgs.gov,USGS,https://doi.org/10.1006/qres.2001.2237,NA,Second High Cliff,WGS84,Yes,Barbados,St. James,St. James,Holetown,13.1728875,13.1886127,-59.6108139,-59.5851458,NA,8B,IEESB00OJ,13.175912,-59.6105053,189,2001,control,soil pit,NA,460,Mollisol,NA,Lithic Argiudoll,USDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,39,Bt2_29-39,IEESB00P0,DB0217,Barbados_2,29,39,bulk soil,167.29,NA
Barbados_2001,USGS-Denver,Corey Lawrence,USGS,clawrence@usgs.gov,Daniel Muhs,dmuhs@usgs.gov,USGS,https://doi.org/10.1006/qres.2001.2237,NA,Second High Cliff,WGS84,Yes,Barbados,St. James,St. James,Holetown,13.1728875,13.1886127,-59.6108139,-59.5851458,NA,11,IEESB00OK,13.1886127,-59.5851458,322,2001,control,soil pit,NA,700,Mollisol,NA,Lithic Hapludoll,USDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,Ap_0-5,IEESB00P1,DB0217,Barbados_3,0,5,<2mm-ground,7.89,NA
Barbados_2001,USGS-Denver,Corey Lawrence,USGS,clawrence@usgs.gov,Daniel Muhs,dmuhs@usgs.gov,USGS,https://doi.org/10.1006/qres.2001.2237,NA,Second High Cliff,WGS84,Yes,Barbados,St. James,St. James,Holetown,13.1728875,13.1886127,-59.6108139,-59.5851458,NA,11,IEESB00OK,13.1886127,-59.5851458,322,2001,control,soil pit,NA,700,Mollisol,NA,Lithic Hapludoll,USDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,Bt1_5-23,IEESB00P2,DB0217,Barbados_3,5,23,<2mm-ground,8.05,NA
Barbados_2001,USGS-Denver,Corey Lawrence,USGS,clawrence@usgs.gov,Daniel Muhs,dmuhs@usgs.gov,USGS,https://doi.org/10.1006/qres.2001.2237,NA,Second High Cliff,WGS84,Yes,Barbados,St. James,St. James,Holetown,13.1728875,13.1886127,-59.6108139,-59.5851458,NA,11,IEESB00OK,13.1886127,-59.5851458,322,2001,control,soil pit,NA,700,Mollisol,NA,Lithic Hapludoll,USDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,Bt3_32-50,IEESB00P4,DB0217,Barbados_3,32,50,<2mm-ground,4.99,NA
Barbados_2001,USGS-Denver,Corey Lawrence,USGS,clawrence@usgs.gov,Daniel Muhs,dmuhs@usgs.gov,USGS,https://doi.org/10.1006/qres.2001.2237,NA,Second High Cliff,WGS84,Yes,Barbados,St. James,St. James,Holetown,13.1728875,13.1886127,-59.6108139,-59.5851458,NA,11,IEESB00OK,13.1886127,-59.5851458,322,2001,control,soil pit,NA,700,Mollisol,NA,Lithic Hapludoll,USDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,Ap_0-5,IEESB00P1,DB0217,Barbados_2,0,5,bulk soil,228.7,NA
Barbados_2001,USGS-Denver,Corey Lawrence,USGS,clawrence@usgs.gov,Daniel Muhs,dmuhs@usgs.gov,USGS,https://doi.org/10.1006/qres.2001.2237,NA,Second High Cliff,WGS84,Yes,Barbados,St. James,St. James,Holetown,13.1728875,13.1886127,-59.6108139,-59.5851458,NA,11,IEESB00OK,13.1886127,-59.5851458,322,2001,control,soil pit,NA,700,Mollisol,NA,Lithic Hapludoll,USDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,Bt1_5-23,IEESB00P2,DB0217,Barbados_2,5,23,bulk soil,222,NA
Barbados_2001,USGS-Denver,Corey Lawrence,USGS,clawrence@usgs.gov,Daniel Muhs,dmuhs@usgs.gov,USGS,https://doi.org/10.1006/qres.2001.2237,NA,Second High Cliff,WGS84,Yes,Barbados,St. James,St. James,Holetown,13.1728875,13.1886127,-59.6108139,-59.5851458,NA,11,IEESB00OK,13.1886127,-59.5851458,322,2001,control,soil pit,NA,700,Mollisol,NA,Lithic Hapludoll,USDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,Bt2_23-32,IEESB00P3,DB0217,Barbados_2,23,32,bulk soil,232.61,NA
Barbados_2001,USGS-Denver,Corey Lawrence,USGS,clawrence@usgs.gov,Daniel Muhs,dmuhs@usgs.gov,USGS,https://doi.org/10.1006/qres.2001.2237,NA,Second High Cliff,WGS84,Yes,Barbados,St. James,St. James,Holetown,13.1728875,13.1886127,-59.6108139,-59.5851458,NA,11,IEESB00OK,13.1886127,-59.5851458,322,2001,control,soil pit,NA,700,Mollisol,NA,Lithic Hapludoll,USDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,Bt3_32-50,IEESB00P4,DB0217,Barbados_2,32,50,bulk soil,241.23,NA
Barbados_2001,USGS-Denver,Corey Lawrence,USGS,clawrence@usgs.gov,Daniel Muhs,dmuhs@usgs.gov,USGS,https://doi.org/10.1006/qres.2001.2237,NA,Husbands,WGS84,Yes,Barbados,St. James,St. James,Holetown,13.1544081,13.173263,-59.6203801,-59.6196086,NA,6A,IEESB00OL,13.1544081,-59.6203801,107,2001,control,soil pit,NA,320,Mollisol,NA,Typic Haplustert,USDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,72,A1_0-18,IEESB00P5,DB0217,Barbados_3,0,18,<2mm-ground,14.08,NA
Barbados_2001,USGS-Denver,Corey Lawrence,USGS,clawrence@usgs.gov,Daniel Muhs,dmuhs@usgs.gov,USGS,https://doi.org/10.1006/qres.2001.2237,NA,Husbands,WGS84,Yes,Barbados,St. James,St. James,Holetown,13.1544081,13.173263,-59.6203801,-59.6196086,NA,6A,IEESB00OL,13.1544081,-59.6203801,107,2001,control,soil pit,NA,320,Mollisol,NA,Typic Haplustert,USDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,72,A1_18-36,IEESB00P6,DB0217,Barbados_3,18,36,<2mm-ground,10.38,NA
Barbados_2001,USGS-Denver,Corey Lawrence,USGS,clawrence@usgs.gov,Daniel Muhs,dmuhs@usgs.gov,USGS,https://doi.org/10.1006/qres.2001.2237,NA,Husbands,WGS84,Yes,Barbados,St. James,St. James,Holetown,13.1544081,13.173263,-59.6203801,-59.6196086,NA,6A,IEESB00OL,13.1544081,-59.6203801,107,2001,control,soil pit,NA,320,Mollisol,NA,Typic Haplustert,USDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,72,A2_36-44,IEESB00P7,DB0217,Barbados_3,36,44,<2mm-ground,13.04,NA
Barbados_2001,USGS-Denver,Corey Lawrence,USGS,clawrence@usgs.gov,Daniel Muhs,dmuhs@usgs.gov,USGS,https://doi.org/10.1006/qres.2001.2237,NA,Husbands,WGS84,Yes,Barbados,St. James,St. James,Holetown,13.1544081,13.173263,-59.6203801,-59.6196086,NA,6A,IEESB00OL,13.1544081,-59.6203801,107,2001,control,soil pit,NA,320,Mollisol,NA,Typic Haplustert,USDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,72,CA_44-53,IEESB00P8,DB0217,Barbados_3,44,53,<2mm-ground,15.54,NA
Barbados_2001,USGS-Denver,Corey Lawrence,USGS,clawrence@usgs.gov,Daniel Muhs,dmuhs@usgs.gov,USGS,https://doi.org/10.1006/qres.2001.2237,NA,Husbands,WGS84,Yes,Barbados,St. James,St. James,Holetown,13.1544081,13.173263,-59.6203801,-59.6196086,NA,6A,IEESB00OL,13.1544081,-59.6203801,107,2001,control,soil pit,NA,320,Mollisol,NA,Typic Haplustert,USDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,72,C1_53-65,IEESB00P9,DB0217,Barbados_3,53,65,<2mm-ground,13.95,NA
Barbados_2001,USGS-Denver,Corey Lawrence,USGS,clawrence@usgs.gov,Daniel Muhs,dmuhs@usgs.gov,USGS,https://doi.org/10.1006/qres.2001.2237,NA,Husbands,WGS84,Yes,Barbados,St. James,St. James,Holetown,13.1544081,13.173263,-59.6203801,-59.6196086,NA,6A,IEESB00OL,13.1544081,-59.6203801,107,2001,control,soil pit,NA,320,Mollisol,NA,Typic Haplustert,USDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,72,C2_65-72,IEESB00PA,DB0217,Barbados_3,65,72,<2mm-ground,8.68,NA
Barbados_2001,USGS-Denver,Corey Lawrence,USGS,clawrence@usgs.gov,Daniel Muhs,dmuhs@usgs.gov,USGS,https://doi.org/10.1006/qres.2001.2237,NA,Husbands,WGS84,Yes,Barbados,St. James,St. James,Holetown,13.1544081,13.173263,-59.6203801,-59.6196086,NA,6A,IEESB00OL,13.1544081,-59.6203801,107,2001,control,soil pit,NA,320,Mollisol,NA,Typic Haplustert,USDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,72,A1_0-18,IEESB00P5,DB0217,Barbados_2,0,18,bulk soil,284.06,NA
Barbados_2001,USGS-Denver,Corey Lawrence,USGS,clawrence@usgs.gov,Daniel Muhs,dmuhs@usgs.gov,USGS,https://doi.org/10.1006/qres.2001.2237,NA,Husbands,WGS84,Yes,Barbados,St. James,St. James,Holetown,13.1544081,13.173263,-59.6203801,-59.6196086,NA,6A,IEESB00OL,13.1544081,-59.6203801,107,2001,control,soil pit,NA,320,Mollisol,NA,Typic Haplustert,USDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,72,A1_18-36,IEESB00P6,DB0217,Barbados_2,18,36,bulk soil,323.91,NA
Barbados_2001,USGS-Denver,Corey Lawrence,USGS,clawrence@usgs.gov,Daniel Muhs,dmuhs@usgs.gov,USGS,https://doi.org/10.1006/qres.2001.2237,NA,Husbands,WGS84,Yes,Barbados,St. James,St. James,Holetown,13.1544081,13.173263,-59.6203801,-59.6196086,NA,6A,IEESB00OL,13.1544081,-59.6203801,107,2001,control,soil pit,NA,320,Mollisol,NA,Typic Haplustert,USDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,72,A2_36-44,IEESB00P7,DB0217,Barbados_2,36,44,bulk soil,360.98,NA
Barbados_2001,USGS-Denver,Corey Lawrence,USGS,clawrence@usgs.gov,Daniel Muhs,dmuhs@usgs.gov,USGS,https://doi.org/10.1006/qres.2001.2237,NA,Husbands,WGS84,Yes,Barbados,St. James,St. James,Holetown,13.1544081,13.173263,-59.6203801,-59.6196086,NA,6A,IEESB00OL,13.1544081,-59.6203801,107,2001,control,soil pit,NA,320,Mollisol,NA,Typic Haplustert,USDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,72,CA_44-53,IEESB00P8,DB0217,Barbados_2,44,53,bulk soil,267.06,NA
Barbados_2001,USGS-Denver,Corey Lawrence,USGS,clawrence@usgs.gov,Daniel Muhs,dmuhs@usgs.gov,USGS,https://doi.org/10.1006/qres.2001.2237,NA,Husbands,WGS84,Yes,Barbados,St. James,St. James,Holetown,13.1544081,13.173263,-59.6203801,-59.6196086,NA,6A,IEESB00OL,13.1544081,-59.6203801,107,2001,control,soil pit,NA,320,Mollisol,NA,Typic Haplustert,USDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,72,C1_53-65,IEESB00P9,DB0217,Barbados_2,53,65,bulk soil,245.52,NA
